Tumor_Sample_Barcode,CCND1_cna_raw,MDM4_cna_raw
MB-5623,0,1
MB-5634,-1,0
MB-5635,0,0
MB-5638,0,1
MB-5640,0,0
MB-5652,0,1
MB-5656,0,0
MB-6006,0,2
MB-6108,0,2
MB-6118,0,2
MB-6183,0,1
MB-6201,0,0
MB-6212,0,0
MB-6218,2,0
MB-6225,0,0
MB-6229,0,2
MB-6233,0,2
MB-6237,0,0
MTS-T0060,0,0
MTS-T0061,0,0
MTS-T0066,0,1
MTS-T0068,0,0
MTS-T0164,0,0
MTS-T0166,0,0
MTS-T0168,0,0
MTS-T0169,0,0
MTS-T0172,0,0
MTS-T0179,0,0
MTS-T0180,0,0
MTS-T0181,0,0
MTS-T0185,0,0
MTS-T0187,0,0
MTS-T0235,0,0
MTS-T0239,0,0
MTS-T0247,0,0
MTS-T0257,0,0
MTS-T0286,0,0
MTS-T0325,2,1
MTS-T0525,0,0
MTS-T0600,0,0
MTS-T0685,0,0
MTS-T0788,0,0
MTS-T0824,0,0
MTS-T0883,0,0
MTS-T0927,0,0
MTS-T0951,0,2
MTS-T1203,0,0
MTS-T1454,0,2
MTS-T1502,0,0
MTS-T1504,0,0
MTS-T1514,0,0
MTS-T1515,0,0
MTS-T1549,0,0
MTS-T1561,0,0
MTS-T1616,0,0
MTS-T1633,0,0
MTS-T1706,0,0
MTS-T1872,0,0
MTS-T1945,0,0
MTS-T2047,0,0
MTS-T2054,0,0
MTS-T2068,0,0
MTS-T2074,0,0
MTS-T2083,0,0
MTS-T2085,0,0
MTS-T2096,0,0
MTS-T2106,0,0
MTS-T2115,0,0
MTS-T2117,0,0
MTS-T2126,0,0
MTS-T2129,0,0
MTS-T2178,0,0
MTS-T2189,2,0
MTS-T2212,0,1
MTS-T2304,0,0
MTS-T2402,0,1
MTS-T2404,0,0
MTS-T2405,0,0
MTS-T2406,0,0
MTS-T2408,0,0
MTS-T2409,0,2
MTS-T2413,0,0
MTS-T2414,0,0
MTS-T2415,1,0
MTS-T2423,0,0
MTS-T2428,0,0
MTS-T2429,0,0
